scenario,scenario_key,seed,cw_id,node_id,distance_from_cw1_m,vehicle_avg_wait_sec,vehicle_max_queue_veh,ped_avg_wait_sec,pet_mean_sec,pet_sample_count,elderly_pet_mean_sec,elderly_pet_sample_count,normal_pet_mean_sec,normal_pet_sample_count,severe_conflicts,medium_conflicts,elderly_severe_conflicts,normal_severe_conflicts,elderly_moderate_conflicts,normal_moderate_conflicts,elderly_incomplete_crossing,normal_incomplete_crossing,elderly_total_pedestrians,normal_total_pedestrians,total_pedestrians,elderly_risk_score,normal_risk_score,total_risk_score,spillback_count
S3,smart_multi,43,CW7,N5,250.0,,0,30.8943661971831,,0,,0,,0,0,0,0,0,0,0,16,24,118,288,406,0.0,0.0,0.0,0
S3,smart_multi,43,CW8,N8,427.2,23.311827956989248,0,0.02735562310030395,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
S3,smart_multi,43,CW9,N1,200.0,52.771929824561404,0,21.110588235294117,22.57777777777778,135,23.523809523809526,21,22.403508771929825,114,27,9,5,22,1,8,3,16,58,325,383,0.21551724137931033,0.06769230769230769,0.09007832898172324,0
S3,smart_multi,43,CW10,N12,500.0,,0,28.529411764705884,,0,,0,,0,0,0,0,0,0,0,3,13,36,226,262,0.0,0.0,0.0,0
S1,baseline,44,CW1,N2,0.0,45.872983870967744,32,18.514754098360655,0.47101449275362317,276,0.25,36,0.5041666666666667,240,255,1,34,221,0,1,3,13,36,240,276,2.361111111111111,0.9208333333333333,1.108695652173913,75
S1,baseline,44,CW2,N3,200.0,51.58722358722359,19,23.94855305466238,4.142857142857143,287,4.3478260869565215,69,4.077981651376147,218,253,3,60,193,0,3,4,6,69,218,287,2.1739130434782608,0.8853211009174312,1.1951219512195121,0
S1,baseline,44,CW3,N6,150.0,129.4848484848485,22,14.233532934131736,0.39344262295081966,61,0.6666666666666666,9,0.34615384615384615,52,57,0,8,49,0,0,2,6,21,133,154,0.9523809523809523,0.3684210526315789,0.44805194805194803,0
S1,baseline,44,CW4,N7,250.0,52.03157894736842,8,22.815261044176708,7.98876404494382,89,9.214285714285714,14,7.76,75,64,1,11,53,0,1,2,6,36,191,227,0.7638888888888888,0.2774869109947644,0.35462555066079293,0
S1,baseline,44,CW5,N10,300.0,279.6875,3,0.03587443946188341,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
S1,baseline,44,CW6,N11,360.56,,0,0.04966887417218543,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
S1,baseline,44,CW7,N5,250.0,,0,33.68779342723005,,0,,0,,0,0,0,0,0,0,0,9,29,116,285,401,0.0,0.0,0.0,0
S1,baseline,44,CW8,N8,427.2,52.170212765957444,0,0.03323262839879154,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
S1,baseline,44,CW9,N1,200.0,64.28301886792453,0,21.04470588235294,40.38194444444444,144,37.5,22,40.90163934426229,122,12,1,2,10,0,1,6,22,58,328,386,0.08620689655172414,0.03048780487804878,0.038860103626943004,0
S1,baseline,44,CW10,N12,500.0,,0,28.147766323024054,,0,,0,,0,0,0,0,0,0,0,3,10,36,227,263,0.0,0.0,0.0,0
S2,smart_single,44,CW1,N2,0.0,44.66328600405679,35,17.898026315789473,0.45993031358885017,287,0.6052631578947368,38,0.43775100401606426,249,257,8,33,224,0,8,2,7,38,249,287,2.1710526315789473,0.8995983935742972,1.0679442508710801,155
S2,smart_single,44,CW2,N3,200.0,53.53186274509804,22,23.909967845659164,3.951219512195122,287,3.898550724637681,69,3.967889908256881,218,259,1,63,196,0,1,3,9,69,218,287,2.282608695652174,0.8990825688073395,1.2317073170731707,0
S2,smart_single,44,CW3,N6,150.0,124.92727272727272,22,14.520958083832335,0.4426229508196721,61,0.6666666666666666,9,0.40384615384615385,52,56,0,8,48,0,0,2,5,21,133,154,0.9523809523809523,0.3609022556390977,0.44155844155844154,0
