cw_id,metric,metric_label,S1_mean,S1_sd,S1_mean_sd,S2_mean,S2_sd,S2_mean_sd,S3_mean,S3_sd,S3_mean_sd,S2_vs_S1_improvement_pct,S3_vs_S1_improvement_pct,elderly_risk_reduction_rate_pct,normal_risk_reduction_rate_pct,risk_reduction_rate_pct
CW10,elderly_pet_mean_sec,고령자 PET 평균(초),,,NA,,,NA,,,NA,,,,,
CW10,normal_pet_mean_sec,일반 보행자 PET 평균(초),,,NA,,,NA,,,NA,,,,,
CW10,severe_conflicts,심각 상충 건수,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW10,medium_conflicts,중간 상충 건수,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW10,elderly_severe_conflicts,고령자 심각 상충 건수,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW10,normal_severe_conflicts,일반 보행자 심각 상충 건수,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW10,elderly_incomplete_crossing,고령자 신호 내 횡단 미완료,3.0,0.7071067811865476,3.00±0.71,3.2,1.0954451150103321,3.20±1.10,2.6,1.140175425099138,2.60±1.14,-6.666666666666672,13.33333333333333,,,
CW10,normal_incomplete_crossing,일반 보행자 신호 내 횡단 미완료,13.2,2.2803508501982757,13.20±2.28,10.0,3.391164991562634,10.00±3.39,10.6,1.816590212458495,10.60±1.82,24.24242424242424,19.696969696969695,,,
CW10,elderly_risk_score,고령자 가중 위험도(1인당),0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW10,normal_risk_score,일반 보행자 위험도(1인당),0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW10,total_risk_score,통합 위험도(1인당),0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW10,spillback_count,spillback 발생 횟수,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
ALL,vehicle_avg_wait_sec,차량 평균 대기시간(초/대),86.74680838465926,2.206860525030281,86.75±2.21,86.14244148694979,2.483029559575485,86.14±2.48,76.57957638612609,5.327188183492661,76.58±5.33,0.6967021714845564,11.72058337114705,,,
ALL,vehicle_max_queue_veh,차량 최대 대기행렬(대),31.4,0.5477225575051661,31.40±0.55,34.0,1.7320508075688772,34.00±1.73,30.6,1.3416407864998738,30.60±1.34,-8.280254777070068,2.5477707006369337,,,
ALL,ped_avg_wait_sec,보행자 평균 대기시간(초/인),17.148504309355676,0.35824725032021637,17.15±0.36,17.14823837115054,0.1890336035946535,17.15±0.19,17.076119835360107,0.42001541685283067,17.08±0.42,0.0015507953366548323,0.4221037163927982,,,
ALL,pet_mean_sec,PET 평균(초),9.402444461783436,0.8896340602615033,9.40±0.89,8.742006407357398,0.9726350259321308,8.74±0.97,10.903097224291662,1.8306665741521695,10.90±1.83,-7.024110135512222,15.960240643884488,,,
