scenario,scenario_key,seed,time,tls,cw_id,count
S3,smart_multi,42,1136.0,N6,CW3,1
S3,smart_multi,42,1140.0,N6,CW3,2
S3,smart_multi,42,1169.0,N2,CW1,1
S3,smart_multi,42,1174.0,N2,CW1,2
S3,smart_multi,42,1187.0,N3,CW2,1
S3,smart_multi,42,1188.0,N3,CW2,2
S3,smart_multi,42,1246.0,N6,CW3,1
S3,smart_multi,42,1247.0,N6,CW3,2
S3,smart_multi,42,1287.0,N3,CW2,1
S3,smart_multi,42,1288.0,N3,CW2,2
S3,smart_multi,42,1340.0,N6,CW3,1
S3,smart_multi,42,1342.0,N6,CW3,2
S3,smart_multi,42,1383.0,N2,CW1,1
S3,smart_multi,42,1386.0,N2,CW1,2
S3,smart_multi,42,1390.0,N3,CW2,1
S3,smart_multi,42,1393.0,N3,CW2,2
S3,smart_multi,42,1439.0,N6,CW3,1
S3,smart_multi,42,1492.0,N2,CW1,1
S3,smart_multi,42,1493.0,N3,CW2,1
S3,smart_multi,42,1497.0,N2,CW1,2
S3,smart_multi,42,1502.0,N3,CW2,2
S3,smart_multi,42,1534.0,N6,CW3,1
S3,smart_multi,42,1603.0,N3,CW2,1
S3,smart_multi,42,1604.0,N3,CW2,2
S3,smart_multi,42,1608.0,N2,CW1,1
S3,smart_multi,42,1609.0,N2,CW1,2
S3,smart_multi,42,1711.0,N3,CW2,1
S3,smart_multi,42,1712.0,N3,CW2,2
S3,smart_multi,42,1722.0,N2,CW1,1
S3,smart_multi,42,1723.0,N2,CW1,2
S3,smart_multi,42,1726.0,N6,CW3,1
S3,smart_multi,42,1727.0,N6,CW3,2
S3,smart_multi,42,1815.0,N3,CW2,1
S3,smart_multi,42,1816.0,N3,CW2,2
S3,smart_multi,42,1830.0,N2,CW1,1
S3,smart_multi,42,1831.0,N2,CW1,2
S3,smart_multi,42,1913.0,N3,CW2,1
S3,smart_multi,42,1918.0,N3,CW2,2
S3,smart_multi,42,2004.0,N6,CW3,1
S3,smart_multi,42,2100.0,N6,CW3,1
S3,smart_multi,42,2113.0,N3,CW2,1
S3,smart_multi,42,2118.0,N3,CW2,2
S3,smart_multi,42,2138.0,N2,CW1,1
S3,smart_multi,42,2143.0,N2,CW1,2
S3,smart_multi,42,2197.0,N6,CW3,1
S3,smart_multi,42,2201.0,N6,CW3,2
S3,smart_multi,42,2218.0,N3,CW2,1
S3,smart_multi,42,2223.0,N3,CW2,2
S3,smart_multi,42,2258.0,N2,CW1,1
S3,smart_multi,42,2259.0,N2,CW1,2
S3,smart_multi,42,2307.0,N6,CW3,1
