횡단보도ID,lon,lat,읍면동명,LANES,ROAD_RANK,MAX_SPD,사고건수,추정AADT,행정동,노인비율,nan_flag,crossing_length_m,ped_green_base,ped_green_elderly,risk_score
119023,126.96767505572237,37.56079907655942,중림동,3.0,104.0,50.0,1.0,26875.559786532827,중림동,0.1901991313611407,False,10.5,17.5,20.125,3.501991313611407
179107,126.97302407269652,37.559592074919095,봉래동1가,1.0,104.0,50.0,0.0,26875.559786532827,중림동,0.1901991313611407,False,3.5,10.5,11.375,2.401991313611407
179104,126.97293485904264,37.559857524248045,봉래동1가,1.0,104.0,30.0,0.0,26875.559786532827,중림동,0.1901991313611407,False,3.5,10.5,11.375,2.3219913136114068
163164,127.02336226880406,37.567732004977465,황학동,2.0,,50.0,0.0,26875.559786532827,황학동,0.1717813302883243,True,7.0,14.0,15.75,2.5178133028832432
176196,126.96390983496026,37.559184570502104,중림동,1.0,104.0,30.0,0.0,26875.559786532827,중림동,0.1901991313611407,False,3.5,10.5,11.375,2.3219913136114068
89,126.9980519155064,37.56880234931408,주교동,4.0,104.0,50.0,1.0,26875.559786532827,을지로동,0.1558596073765615,False,14.0,21.0,24.5,3.458596073765615
137,127.01381340491366,37.5680098966872,신당동,2.0,104.0,30.0,1.0,26875.559786532827,신당동,0.1998197792295562,False,7.0,14.0,15.75,3.218197792295562
151,127.01918455481352,37.57083487838864,황학동,1.0,104.0,30.0,2.0,26875.559786532827,황학동,0.1717813302883243,False,3.5,10.5,11.375,3.137813302883243
164571,127.02117863262052,37.565760225682155,황학동,3.0,104.0,50.0,1.0,26875.559786532827,황학동,0.1717813302883243,False,10.5,17.5,20.125,3.317813302883243
164569,127.02201826331776,37.56560335861053,황학동,2.0,,50.0,3.0,26875.559786532827,황학동,0.1717813302883243,True,7.0,14.0,15.75,4.017813302883243
167173,126.96904720498506,37.56796525397408,충정로1가,3.0,103.0,50.0,1.0,32310.64301369863,중림동,0.1901991313611407,False,10.5,17.5,20.125,3.501991313611407
214528,126.99055996543544,37.56098797273839,남학동,1.0,104.0,50.0,0.0,26875.559786532827,을지로동,0.1558596073765615,False,3.5,10.5,11.375,2.058596073765615
165599,127.02441265491134,37.56193608941261,신당동,2.0,,50.0,0.0,26875.559786532827,신당동,0.1998197792295562,True,7.0,14.0,15.75,2.798197792295562
165598,127.0244126922482,37.56205051597609,신당동,2.0,,50.0,1.0,26875.559786532827,신당동,0.1998197792295562,True,7.0,14.0,15.75,3.298197792295562
165595,127.02437293257934,37.56354951206805,신당동,2.0,,50.0,0.0,26875.559786532827,신당동,0.1998197792295562,True,7.0,14.0,15.75,2.798197792295562
214527,126.99035727672651,37.56102512457698,주자동,1.0,104.0,50.0,0.0,26875.559786532827,동화동,0.2408064025934555,False,3.5,10.5,11.375,2.908064025934555
214526,126.99008139799568,37.56024242378005,주자동,1.0,104.0,50.0,0.0,26875.559786532827,동화동,0.2408064025934555,False,3.5,10.5,11.375,2.908064025934555
5590,126.96406504268572,37.559244119686134,중림동,1.0,104.0,50.0,2.0,26875.559786532827,중림동,0.1901991313611407,False,3.5,10.5,11.375,3.401991313611407
